title,num_review,num_ratings,url,rating,num_pages,genres
life before legend: stories of the criminal and the prodigy,1214,14842,https://www.goodreads.com/book/show/17235347-life-before-legend,4.02,38.0,"young adult,science fiction,short stories"
alice's adventures in wonderland,5762,109600,https://www.goodreads.com/book/show/6324090-alice-s-adventures-in-wonderland,4.0,96.0,"classics,fantasy,fiction"
griffin and sabine,1094,40348,https://www.goodreads.com/book/show/381102.Griffin_and_Sabine,4.0,46.0,"fiction,art,fantasy"
the blind owl,1076,13284,https://www.goodreads.com/book/show/14728662-the-blind-owl,3.99,108.0,"fiction,horror,cultural"
fantastic beasts and where to find them,7481,234627,https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,3.97,59.0,"fantasy,young adult,fiction"
a streetcar named desire,3048,224840,https://www.goodreads.com/book/show/12220.A_Streetcar_Named_Desire,3.97,107.0,"plays,classics,drama"
common sense,1213,24051,https://www.goodreads.com/book/show/161744.Common_Sense,3.97,104.0,"history,nonfiction,classics"
the mist,1648,89220,https://www.goodreads.com/book/show/813214.The_Mist,3.93,101.0,"horror,fiction,thriller"
brokeback mountain,1757,23538,https://www.goodreads.com/book/show/1627.Brokeback_Mountain,3.93,55.0,"fiction,short stories,romance"
the most dangerous game,1139,35652,https://www.goodreads.com/book/show/157076.The_Most_Dangerous_Game,3.92,48.0,"classics,short stories,fiction"
bartleby the scrivener,2196,34213,https://www.goodreads.com/book/show/114230.Bartleby_the_Scrivener,3.9,64.0,"literature,literature,literature"
the twilight saga,3735,99463,https://www.goodreads.com/book/show/3090465-the-twilight-saga,3.88,65.0,"fantasy,young adult,romance"
quidditch through the ages,3817,111175,https://www.goodreads.com/book/show/111450.Quidditch_Through_the_Ages,3.86,64.0,"fantasy,young adult,fiction"
ghost world,1905,53698,https://www.goodreads.com/book/show/62953.Ghost_World,3.86,80.0,"sequential art,sequential art,fiction"
medea,1174,45072,https://www.goodreads.com/book/show/752900.Medea,3.84,47.0,"classics,plays,drama"
free will,1316,18566,https://www.goodreads.com/book/show/13259270-free-will,3.84,83.0,"nonfiction,psychology,philosophy"
silk,1996,26040,https://www.goodreads.com/book/show/61264.Silk,3.83,91.0,"fiction,historical,european literature"
jonathan livingston seagull,5910,158694,https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull,3.81,95.0,"fiction,classics,philosophy"
flatland: a romance of many dimensions,3123,41867,https://www.goodreads.com/book/show/433567.Flatland,3.81,96.0,"science fiction,science,philosophy"
dr. faustus,1235,46994,https://www.goodreads.com/book/show/18525.Dr_Faustus,3.79,56.0,"classics,plays,fiction"
the guard,2113,36796,https://www.goodreads.com/book/show/18170039-the-guard,3.76,64.0,"young adult,science fiction,romance"
who moved my cheese?,8515,274035,https://www.goodreads.com/book/show/4894.Who_Moved_My_Cheese_,3.75,96.0,"business,self help,nonfiction"
queen song,1159,15176,https://www.goodreads.com/book/show/25005214-queen-song,3.75,100.0,"fantasy,young adult,science fiction"
oedipus rex,2405,141894,https://www.goodreads.com/book/show/1554.Oedipus_Rex,3.68,75.0,"drama,fiction,academic"
julius caesar,3244,141416,https://www.goodreads.com/book/show/13006.Julius_Caesar,3.66,95.0,"classics,plays,drama"
ur,1145,14638,https://www.goodreads.com/book/show/6251012-ur,3.66,61.0,"horror,fiction,short stories"
hana,1895,21712,https://www.goodreads.com/book/show/12663646-hana,3.63,64.0,"science fiction,young adult,short stories"
mile 81,1623,21499,https://www.goodreads.com/book/show/12070846-mile-81,3.63,54.0,"horror,audiobook,fiction"
antigone,1973,82005,https://www.goodreads.com/book/show/7728.Antigone,3.6,80.0,"classics,plays,drama"
the curious case of benjamin button,3118,37150,https://www.goodreads.com/book/show/747746.The_Curious_Case_of_Benjamin_Button,3.53,64.0,"classics,short stories"
